label,class,ASC,ASS,ASF,LAT,TC,SC,HSC,HSD,HSS,HSV
03-01-04-01-01-01-11,sad,-0.6632104823336603,2.6868065834876136,0.13763538616083523,-0.8302888375820947,1.5691393166948278,9552.210030914679,5171.585369244135,0.22591407318961199,0.8833586719701008,0.1322964997492879
03-01-06-02-01-01-12,fearful,-0.7562424986109527,1.5058019079038767,0.10946766856744786,-0.03973738169275585,1.8176677992111223,7126.5936729583145,3535.236114697732,0.297042846201587,0.7809152706614763,0.03849683295724083
03-01-01-01-01-01-14,neutral,1.0587354539031704,1.0445767318687396,0.4143300381333585,-0.5332250291357147,1.5458417745252129,7362.346928246607,5266.371751095911,0.28142592588603427,0.8232386032803195,0.12830124838414825
03-01-04-01-01-01-15,sad,-0.18275321025928667,2.3606796365175335,0.14638210917839392,0.028393310030132936,1.7807881560573184,8615.706765339552,3575.2580804092754,0.23530934504344966,0.8230959412715998,0.08504932079672241
03-01-06-02-01-01-16,fearful,1.089340069662455,1.05204076281966,0.2427383913000231,-0.19756837356927637,1.845082043190156,6625.290444972656,4044.5246067141115,0.2916522128393796,0.7553782871326397,0.06054587142011608
03-01-01-01-01-01-18,neutral,1.143210099536254,1.0002827579729048,0.34627107917798877,-0.5572263584881797,1.7726839323486567,7905.511098565171,3548.748475615359,0.24279780297467604,0.8618842020953277,0.11832279847648627
03-01-04-01-01-01-19,sad,-0.2946940167915622,2.5288878577228684,0.1483235297924402,-0.8284563686950394,1.6901421822247433,9344.072215449673,4570.957563609394,0.2546470627389472,0.8734884932326178,0.12554744932693473
03-01-06-02-01-01-20,fearful,0.9175018671199168,1.3655523612613496,0.06932374249379247,0.2730591741346058,2.2996726555512392,6478.830152394266,4557.779297333276,0.3223776544881091,0.725739608194596,0.11156176000610635
03-01-01-01-01-01-22,neutral,1.2148005995565485,1.5462866807178612,0.2337561220691778,-0.053732005330644636,1.7914113259897746,9337.820619202676,4009.738793574346,0.2538577650716423,0.8334633513825779,0.12542041652297822
03-01-04-01-01-01-23,sad,0.6206777093462155,1.0677133534677918,0.3876327686751571,0.038570491396448685,1.7323195597425312,6447.754481939325,3271.1693454069537,0.24265355996064314,0.8411241338210235,0.12266875228731414
03-01-04-01-01-01-11,sad,-0.6632104823336603,2.6868065834876136,0.13763538616083523,-0.8302888375820947,1.5691393166948278,9552.210030914679,5171.585369244135,0.22591407318961199,0.8833586719701008,0.1322964997492879
03-01-06-02-01-01-12,fearful,-0.7562424986109527,1.5058019079038767,0.10946766856744786,-0.03973738169275585,1.8176677992111223,7126.5936729583145,3535.236114697732,0.297042846201587,0.7809152706614763,0.03849683295724083
03-01-01-01-01-01-14,neutral,1.0587354539031704,1.0445767318687396,0.4143300381333585,-0.5332250291357147,1.5458417745252129,7362.346928246607,5266.371751095911,0.28142592588603427,0.8232386032803195,0.12830124838414825
03-01-04-01-01-01-15,sad,-0.18275321025928667,2.3606796365175335,0.14638210917839392,0.028393310030132936,1.7807881560573184,8615.706765339552,3575.2580804092754,0.23530934504344966,0.8230959412715998,0.08504932079672241
03-01-06-02-01-01-16,fearful,1.089340069662455,1.05204076281966,0.2427383913000231,-0.19756837356927637,1.845082043190156,6625.290444972656,4044.5246067141115,0.2916522128393796,0.7553782871326397,0.06054587142011608
03-01-01-01-01-01-18,neutral,1.143210099536254,1.0002827579729048,0.34627107917798877,-0.5572263584881797,1.7726839323486567,7905.511098565171,3548.748475615359,0.24279780297467604,0.8618842020953277,0.11832279847648627
03-01-04-01-01-01-19,sad,-0.2946940167915622,2.5288878577228684,0.1483235297924402,-0.8284563686950394,1.6901421822247433,9344.072215449673,4570.957563609394,0.2546470627389472,0.8734884932326178,0.12554744932693473
03-01-06-02-01-01-20,fearful,0.9175018671199168,1.3655523612613496,0.06932374249379247,0.2730591741346058,2.2996726555512392,6478.830152394266,4557.779297333276,0.3223776544881091,0.725739608194596,0.11156176000610635
03-01-01-01-01-01-22,neutral,1.2148005995565485,1.5462866807178612,0.2337561220691778,-0.053732005330644636,1.7914113259897746,9337.820619202676,4009.738793574346,0.2538577650716423,0.8334633513825779,0.12542041652297822
03-01-04-01-01-01-23,sad,0.6206777093462155,1.0677133534677918,0.3876327686751571,0.038570491396448685,1.7323195597425312,6447.754481939325,3271.1693454069537,0.24265355996064314,0.8411241338210235,0.12266875228731414
